Comment,Designator,Footprint
MountingHole,H2,text
MountingHole,H1,xcalla
MX-NoLED,MX_rshift1,MXOnly-2.75U-NoLED
MX-NoLED,MX_enter1,MXOnly-2.25U-ReversedStabilizers-NoLED
22pF,"C2,C1",C_0805_2012Metric
ATmega32U4-MU,U1,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm
MX-NoLED,MX62,MXOnly-2.25U-NoLED
D_Small_ALT,"D77,D87,D85,D84,D82,D79,D86,D83,D81,D80,D78,D76,D74,D72,D70,D68,D66,D75,D73,D71,D69,D67,D65,D63,D61,D59,D57,D55,D53,D64,D62,D60,D58,D56,D54,D52,D51,D49,D46,D44,D42,D40,D38,D36,D50,D48,D47,D45,D43,D41,D39,D37,D35,D34,D32,D29,D27,D25,D23,D21,D19,D33,D31,D30,D28,D26,D24,D22,D20,D18,D17,D15,D14,D12,D10,D8,D6,D4,D2,D16,D13,D11,D9,D7,D5,D3,D1",D_SOD-123
Crystal_GND24,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm
SW_Push,SW1,SW_SPST_TL3342
1.5k,R2,R_0805_2012Metric
1k,R5,R_0805_2012Metric
10k,R1,R_0805_2012Metric
22,"R4,R3",R_0805_2012Metric
Q_NPN_BCE,Q1,SOT-223-3_TabPin2
Conn_01x04,"J1,J2",JST-SR-4
1uF,C3,C_0805_2012Metric
0.1uF,"C7,C6,C5",C_0805_2012Metric
10uF,C4,C_0805_2012Metric
MX-NoLED,"MX65,MX37,MX31,MX23,MX73,MX63,MX72,MX18,MX79,MX75,MX38,MX4,MX2,MX29,MX83,MX82,MX81,MX71,MX70,MX69,MX68,MX67,MX66,MX64,MX61,MX60,MX59,MX58,MX57,MX56,MX55,MX54,MX53,MX52,MX51,MX49,MX48,MX47,MX46,MX45,MX44,MX43,MX42,MX41,MX40,MX39,MX36,MX35,MX33,MX32,MX30,MX28,MX27,MX26,MX25,MX24,MX22,MX21,MX20,MX19,MX17,MX16,MX15,MX14,MX13,MX12,MX11,MX10,MX9,MX8,MX7,MX6,MX5,MX3,MX1",MXOnly-1U-NoLED
MX-NoLED,"MX76,MX_rtab_1,MX80,MX78,MX74,MX34",MXOnly-1.5U-NoLED
MX-NoLED,MX77,MXOnly-7U-ReversedStabilizers-NoLED
MX-NoLED,MX50,MXOnly-1.75U-NoLED
MX-NoLED,MX_backspace_1,MXOnly-2U-NoLED
